Method:GET; URL:/; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 114 ms
Method:GET; URL:/login; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:500; Message: Internal Server Error; DateTime: 10/06/2021; ResponseTime: 19 ms
Method:GET; URL:/favicon.ico; Status:404; Message: Not Found; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:500; Message: Internal Server Error; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:500; Message: Internal Server Error; DateTime: 10/06/2021; ResponseTime: 15 ms
Method:GET; URL:/register; Status:500; Message: Internal Server Error; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 12 ms
Method:GET; URL:/register; Status:500; Message: Internal Server Error; DateTime: 10/06/2021; ResponseTime: 29 ms
Method:GET; URL:/register; Status:500; Message: Internal Server Error; DateTime: 10/06/2021; ResponseTime: 2 ms
Method:GET; URL:/register; Status:500; Message: Internal Server Error; DateTime: 10/06/2021; ResponseTime: 28 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 29 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 2 ms
Method:GET; URL:/; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 5 ms
Method:GET; URL:/login'; Status:404; Message: Not Found; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/login; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 19 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:POST; URL:/developer/register; Status:undefined; Message: undefined; DateTime: 10/06/2021; ResponseTime: NaN ms
Method:POST; URL:/developer/register; Status:undefined; Message: undefined; DateTime: 10/06/2021; ResponseTime: NaN ms
Method:GET; URL:/login; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 16 ms
Method:GET; URL:/developer/register; Status:404; Message: Not Found; DateTime: 10/06/2021; ResponseTime: 3 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 14 ms
Method:GET; URL:/developer/register; Status:404; Message: Not Found; DateTime: 10/06/2021; ResponseTime: 3 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 13 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 39 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 238 ms
Method:GET; URL:/developer/register; Status:404; Message: Not Found; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 14 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 38 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 18 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 40 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 16 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 45 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 43 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 41 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 10 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 4 ms
Method:GET; URL:/developer/register; Status:404; Message: Not Found; DateTime: 10/06/2021; ResponseTime: 3 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 12 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 42 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 40 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 61 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 2 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 14 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 43 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 12 ms
Method:POST; URL:/developer/register; Status:undefined; Message: undefined; DateTime: 10/06/2021; ResponseTime: NaN ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 2 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 13 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 55 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 2 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 13 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 41 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 12 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 8 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 14 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 53 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 2 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 16 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 14 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 9 ms
